Name,Day,Date,Tags,Latitude,Longitude,SearchQuery,Notes
D1 · Birra & Brace — late option near the hotel,D1,Mon 5 Oct,#food #latenight #d1 #hedge #d1,45.774,9.304,Birra e Brace Garbagnate Monastero,"D1 hedge. Roadside grill/pizzeria 2 min from the hotel, the kind of place that stays open late. Have reception (+39 031 851700) ring ahead — Monday is the standard closing day in Brianza. Better plan: eat at Malpensa."
"D2 · Dac a Tra' — Michelin star, 10 min from the hotel",D2,Tue 6 Oct,#food #michelin #splurge #d2,45.75,9.32,Dac a Tra Castello di Brianza,"The closest starred restaurant to your base. Contemporary, produce-driven. +39 039 5312410."
D3 · Il Cavatappi / Vecchia Varenna,D3,Wed 7 Oct,#food #dinner #romantic #booknow #d3,46.01,9.285,Il Cavatappi Varenna,"D3 dinner. Il Cavatappi is tiny, in a stone alley — the romantic one. Vecchia Varenna is on the water in a former black-marble works. Varenna after dark is the prettiest village on the lake."
D5 · Nives — Selva village square,D5,Fri 9 Oct,#food #openyearround #safebet #d5,46.5556,11.7597,Ristorante Nives Selva di Val Gardena,"CONFIRMED OPEN YEAR-ROUND, which in this valley in October is not a small thing. South Tyrolean + Mediterranean, homemade pasta. +39 0471 773329."
D6 · Abbazia di Novacella — monastery + winery,D6,Sat 10 Oct,#food #wine #indoor #rainplan #d6,46.735,11.648,Abbazia di Novacella Neustift,"Augustinian monastery with a rotunda library, baroque church AND its own winery doing tastings. Historic, indoors, wine — arguably a better rainy morning than the hike is a sunny one."
D6 · Cantina Tramin — Termeno,D6,Sat 10 Oct,#wine #nobooking #closedSun #d6,46.34,11.24,Cantina Tramin Termeno,"One of Italy's best co-ops in a striking modern building. Tastings in the wine shop WITHOUT booking, Sat 09:00-17:00, closed Sunday. An hour south — hard to combine with Val di Funes."
D8 · El Brite de Larieto — on the Tre Croci road,D8,Mon 12 Oct,#food #booknow #closedWed #d8,46.562,12.172,El Brite de Larieto Cortina,"D8 dinner, effectively on your doorstep. Agriturismo with its own dairy. Open until late October, CLOSED WEDNESDAYS. Book: +39 368 7008083."
"D10 · SanBrite — Michelin star, 'agricucina'",D10,Wed 14 Oct,#food #michelin #splurge #callfirst #d10,46.55,12.15,SanBrite Cortina d'Ampezzo,"Everything from the family farm, own cheese dairy. Tasting EUR90-120. Sister to El Brite, 10 min from Passo Tre Croci. CALL +39 0436 863882 to confirm October opening."
D10 · Baita Fraina — above Cortina,D10,Wed 14 Oct,#food #dinner #d10 #d10,46.548,12.16,Baita Fraina Cortina,"D10 dinner (El Brite is closed Wednesdays). Mountain-lodge regional cooking in small panelled rooms, Michelin Guide listed."
D11 · Rifugio Ospitale — SS51 north of Cortina,D11,Thu 15 Oct,#food #roadaccessible #longseason #d11,46.59,12.14,Rifugio Ospitale Cortina,"11th-century hospice turned restaurant, road-accessible, tends to have a longer season than the mountain huts. A good long-lunch answer on a wet day."
D12 · All'Arco — San Polo 436,D12,Fri 16 Oct,#food #cicchetti #closedSun #go11am #d12,45.4392,12.3345,All'Arco Venezia San Polo,"D13, 11:00. Standing-room counter, no written menu, everything made that morning. EUR1.50-4 each. NO RESERVATIONS, CLOSED SUNDAY, and the shutters come down ~14:00 when the trays are empty."
D12 · Osteria alla Vedova — Cannaregio,D12,Fri 16 Oct,#food #cicchetti #thepolpetta #d12,45.4426,12.3339,Osteria alla Vedova Venezia,D12 evening. The legendary deep-fried polpetta. EUR2-5 a cicchetto. Closed Thursday (fine for you). Carry cash.
D12 · Vino Vero — Fondamenta Misericordia,D12,Fri 16 Oct,#food #naturalwine #daily #d12,45.445,12.327,Vino Vero Venezia,"D12 evening. Natural wine bar, crostini with stracciatella, anchovy, lardo. Open daily 12:00-24:00."
D12 · Al Timon — Fondamenta dei Ormesini,D12,Fri 16 Oct,#food #spritz #canalside #d12,45.4455,12.3245,Al Timon Venezia,D12 evening. Everyone sits on the canal edge and on the moored boat. Daily 11:00-01:00.
D12 · Antiche Carampane — the big dinner,D12,Fri 16 Oct,#food #booknow #closedSunMon #d12,45.4383,12.33,Antiche Carampane Venezia,"D12, 20:30. The one with the sign saying no pizza, no lasagne, no tourist menu. Outstanding fried fish. ~EUR70-90pp. BOOK WEEKS AHEAD. Closed Sun-Mon, so Friday works."
D14 · Valeggio sul Mincio — 'nodo d'amore' tortellini,D14,Sun 18 Oct,#food #lunch #ontheme #d14,45.352,10.735,Valeggio sul Mincio,"D14 lunch, 15 min from Peschiera. Home of tortellini di Valeggio, the love-knot, with its own legend about a nymph and a knight. About as on-theme as a honeymoon lunch gets."
D14 · Guerrieri Rizzardi — Bardolino,D14,Sun 18 Oct,#wine #openSunday #booknow #d14,45.553,10.72,Guerrieri Rizzardi Bardolino,"D14, 15:00. Aristocratic estate, tastings DAILY 10:00-18:30 — one of the very few open on a Sunday. From ~EUR15 for 90 min. Book: visite@guerrieri-rizzardi.it."
D14 · Cantina Zeni wine museum — Bardolino,D14,Sun 18 Oct,#wine #free #nobooking #d14,45.557,10.718,Museo del Vino Zeni Bardolino,"D14. Free museum and enoteca, no booking needed — the one drop-in option on the lake."
D15 · Zenato — Peschiera del Garda,D15,Mon 19 Oct,#wine #booknow #MonSat #d15,45.446,10.705,Zenato Peschiera del Garda,"D15, 10:00. Lugana AND Valpolicella/Amarone under one roof — the best single tasting on the lake. Classic tour EUR40 (4 wines + food, 90 min). MON-SAT ONLY, booking essential."
"D15 · Franciacorta — Ca' del Bosco / Bellavista, Erbusco",D15,Mon 19 Oct,#wine #onroute #lastlunch #d15,45.572,9.977,Ca del Bosco Erbusco Franciacorta,"D15, ~13:00. Italy's best metodo classico, ~40 min along the A4 towards MXP. Turns dead driving time into the last good thing you do. WHOEVER DRIVES DOESN'T TASTE."
