Name,Day,Date,Tags,Latitude,Longitude,SearchQuery,Notes
D2 · Villa del Balbianello — Lenno,D2,Tue 6 Oct,#sight #villa #booknow #closedWed #d2,45.9694,9.2103,Villa del Balbianello Lenno,"D2. Gardens ~EUR13-14, + 45-min interior tour ~EUR24-25. CLOSED Mon AND Wed — this is why the west shore goes on Tuesday. Book the interior tour ahead."
D2 · Villa Carlotta — Tremezzo,D2,Tue 6 Oct,#sight #villa #rainproof #d2,45.9853,9.2231,Villa Carlotta Tremezzo,"D2. Open daily, 10:00-19:00 to 18 Oct. ~EUR15-17.50. Real art inside (Canova, Hayez) — the one villa that survives a wet day."
D2 · Bellagio — ferry pier & old town,D2,Tue 6 Oct,#sight #town #ferry #d2,45.9857,9.2617,Bellagio imbarcadero,"D2 afternoon. Arrive as a foot passenger from Cadenabbia. Villa Melzi gardens EUR10, open to 19:00. Golden hour 17:45-18:55."
D2 · Sunset boat — Bellagio / Varenna,D2,Tue 6 Oct,#boat #splurge #romantic #d2,45.986,9.26,Bellagio boat tour,"D2. Private hour ~EUR150-200, or shared from ~EUR40pp. October light on this lake is the best of the year. Book ahead — October fleets are reduced."
D3 · Sentiero del Viandante — Varenna start (Olivedo),D3,Wed 7 Oct,#hike #3h #530m #slipperywet #d3,46.0119,9.2847,Olivedo Varenna,"D3. ~3h, ~530 m ascent to Bellano. Up Via della Croce from Olivedo, via Vezio and Regolo. POLISHED LIMESTONE — genuinely slippery wet; don't do it in a downpour."
D3 · Orrido di Bellano — gorge walkway,D3,Wed 7 Oct,#sight #gorge #EUR8 #betterinrain #d3,46.0424,9.301,Orrido di Bellano,"D3, end of the walk. EUR8 adult. Lit walkway bolted into a gorge. Better with more water in it, but CAN CLOSE on high water — check before driving over."
D3 · Villa Monastero — Varenna,D3,Wed 7 Oct,#sight #villa #closedTue #rainproof #d3,46.0075,9.286,Villa Monastero Varenna,"D3. Garden + house museum EUR15, garden only EUR13. Last entry 17:30. CLOSED TUESDAYS — hence Varenna on Wednesday. Furnished period rooms = indoor option."
D4 · Bergamo Citta Alta — Piazza Vecchia,D4,Thu 8 Oct,#sight #town #lunch #ztl #d4,45.7038,9.6626,Piazza Vecchia Bergamo,"D4 lunch stop, directly on the A4. Funicular up ~EUR3 return, every 5-10 min. Eat casoncelli alla bergamasca. NEVER drive up — hard ZTL plus Lombardy emissions rules."
D5 · Seceda — the ridge,D5,Fri 9 Oct,#hike #view #weatherdependent #d5 #d5,46.6081,11.6503,Seceda,"D5. THE most weather-dependent day of the trip — in cloud you pay for fog. Ridge walk 8.9 km, +575 m, 3-3.5h. Move it to any clear day in the block."
D5 · Col Raiser gondola — Santa Cristina (CHEAPER ROUTE),D5,Fri 9 Oct,#lift #cheaper #quieter #preferred #d5,46.565,11.72,Col Raiser Santa Cristina Val Gardena,"D5 preferred start. Runs to 1 Nov, materially cheaper than the EUR74 Ortisei cable car, far quieter. From the top walk up via Pieralongia (~+400 m, 1h15-1h30) — this is the bit the closed Fermeda chairlift used to do."
