Name,Day,Date,Tags,Latitude,Longitude,SearchQuery,Notes
D2 · Como Duomo + Museo della Seta — wet-day swap,D2,Tue 6 Oct,#rain #indoor #d2 #d2,45.8103,9.0832,Duomo di Como,"D2 RAIN PLAN. The Duomo is free and one of the great Gothic/Renaissance hybrids in Italy. The silk museum is far better than it sounds — Como was the silk capital of Europe. Also Tempio Voltiano, Basilica di Sant'Abbondio. Skip the Brunate funicular: you'd pay to sit in a cloud."
"D3 · Accademia Carrara, Bergamo — best wet day on the Como leg",D3,Wed 7 Oct,#rain #indoor #swapWedThu #d3,45.705,9.673,Accademia Carrara Bergamo,"D3 RAIN PLAN. Botticelli, Bellini, Raphael, Titian. SWAP WEDNESDAY AND THURSDAY and do Bergamo today — it costs nothing because Thursday's Bergamo stop was optional anyway. Plus arcaded Citta Alta, Santa Maria Maggiore, Cappella Colleoni."
D3 · Lecco museums — Villa Manzoni & Palazzo delle Paure,D3,Wed 7 Oct,#rain #indoor #EUR6 #d3,45.8497,9.3878,Villa Manzoni Lecco,"D3 local rain option. EUR6 each. Villa Manzoni is the family home of the man who wrote Italy's national novel about THIS shore. Lecco's Wednesday market (Piazza Garibaldi, 07:30-14:00) is thin in heavy rain."
"D5 · Otzi — South Tyrol Museum of Archaeology, Bolzano",D5,Fri 9 Oct,#rain #indoor #bestwetday #d5,46.4991,11.351,Museo Archeologico Alto Adige Bolzano Otzi,"THE best wet-weather destination of the whole trip, ~50 min down the valley from Selva. The 5,300-year-old iceman found in a glacier up the road. Use it for whichever Val Gardena day is a write-off. Bolzano also has the arcaded Portici and the Duomo."
"D5 · Vallunga — flat, low, forested, fine in drizzle",D5,Fri 9 Oct,#rain #easyhike #25h #d5,46.559,11.781,Vallunga Selva di Val Gardena,"Val Gardena drizzle option, straight from Selva. Flat gravel track up a glacier-carved valley under the Puez walls, 2.5h return, larches everywhere. Pay-and-display at Parcheggio Vallunga. Also the D8 slow-morning fallback."
D7 · Terme Merano — the cold/wet Sunday answer,D7,Sun 11 Oct,#rain #spa #thermal #romantic #d7,46.6688,11.1607,Terme Merano Therme Meran,"D7 RAIN PLAN, ~1h15 from Selva. Large thermal complex, indoor AND outdoor pools, big sauna world. Being outside in hot water in cold rain is not a consolation prize. Merano has covered arcades and the Kurhaus too."
D8 · Brunico / Bruneck — Messner Mountain Museum Ripa,D8,Mon 12 Oct,#rain #indoor #checkhours #d8,46.796,11.937,Messner Mountain Museum Ripa Brunico,"D8 RAIN PLAN, on the valley fallback route. Handsome market town; the castle holds MMM Ripa, on the mountain peoples of the world. CHECK OCTOBER HOURS."
D9 · San Candido / Innichen — church + Acquafun pool,D9,Tue 13 Oct,#rain #indoor #pool #checkhours #d9,46.733,12.279,San Candido Innichen Acquafun,"D9 RAIN PLAN — bail north instead of east. Beautiful Romanesque collegiate church, and Acquafun indoor pool/wellness centre. CHECK HOURS. Save the EUR40 and book Tre Cime for another day — this is exactly why you don't book it early."
D9 · Dobbiaco / Toblach — Mahler & cultural centre,D9,Tue 13 Oct,#rain #indoor #d9,46.735,12.222,Dobbiaco Toblach,"D9 rain option, on the way back from Braies. Gustav Mahler composed here; the Grand Hotel is now a cultural centre."
D10 · Cortina museums — Zardini fossils & Rimoldi art,D10,Wed 14 Oct,#rain #indoor #checkhours #d10,46.539,12.137,Musei delle Regole Cortina d'Ampezzo,"D10 RAIN PLAN. Museo Paleontologico Rinaldo Zardini (these mountains are a fossilised coral reef — a good thing to learn while looking at them) and the Mario Rimoldi modern art collection, both in the Ciasa de ra Regoles. Small municipal museums — CHECK OCTOBER HOURS."
"D11 · Forte Tre Sassi — WWI museum, Passo Valparola",D11,Thu 15 Oct,#rain #indoor #ontheme #checkhours #d11,46.529,11.993,Forte Tre Sassi Passo Valparola,D11 RAIN PLAN. A restored Austro-Hungarian fort covering exactly the WWI front you'd have been walking at Cinque Torri and Lagazuoi — with a roof. Seasonal: CHECK OCTOBER HOURS.
D12 · Gallerie dell'Accademia — Venice,D12,Fri 16 Oct,#rain #indoor #dorsoduro #d12,45.4314,12.328,Gallerie dell'Accademia Venezia,"D12 rain plan, minutes from a Dorsoduro hotel. Venice is genuinely rain-proof; the October risk is ACQUA ALTA, not rain. Check the city tide forecast the night before and buy rubber overshoes."
D12 · Peggy Guggenheim Collection,D12,Fri 16 Oct,#rain #indoor #dorsoduro #d12,45.4308,12.3316,Peggy Guggenheim Collection Venezia,"D12 rain plan. Modern art on the Grand Canal, a few minutes from the Accademia."
D12 · Scuola Grande di San Rocco — Tintoretto,D12,Fri 16 Oct,#rain #indoor #underrated #d12,45.4368,12.326,Scuola Grande di San Rocco Venezia,"D12 rain plan. Tintoretto's entire cycle, in the room he painted it for. One of the great interiors in Europe and never crowded."
D14 · Aquaria Thermal SPA — Sirmione,D14,Sun 18 Oct,#rain #spa #thermal #d14,45.494,10.608,Aquaria Thermal SPA Sirmione,"D14 RAIN PLAN, and the best one on the trip. Sulphurous thermal spring, indoor and outdoor pools, five minutes from the castle. Everything else on D14 already has a roof: the winery, the olive oil museum, the Valeggio lunch."
"D14 · Verona — Arena, Castelvecchio, Duomo",D14,Sun 18 Oct,#rain #indoor #ztl #d14,45.439,10.994,Arena di Verona,"D14 rain option, 30 min from Sirmione. Mind the ZTL: Mon-Fri 10:00-13:30 and 16:00-18:00, Sat-Sun 10:00-13:30. Park at Cittadella."
D14 · Museo dell'Olio d'Oliva — Cisano,D14,Sun 18 Oct,#rain #indoor #free #d14,45.53,10.73,Museo dell'Olio di Oliva Cisano Bardolino,"D14. Free museum and shop, open daily. Mid-October is the start of the Garda DOP olive harvest."
