Day,Date,Layer,Name,Tags,Latitude,Longitude,SearchQuery,Notes
D1,Mon 5 Oct,1 · Bases & hotels,Milan Malpensa T1 — arrive & depart,#airport #start #end #d1,45.6306,8.7281,Milano Malpensa Terminal 1,Land 19:00 D1. Depart ~23:00 D15. Eat landside here on arrival night. Be at the rental return lot by 20:00 on D15 — confirm the return terminal matches your flight terminal.
D1,Mon 5 Oct,1 · Bases & hotels,HSM Hotel San Martino — Garbagnate Monastero,#hotel #d1-d4 #freeparking #d1,45.772,9.301,HSM Hotel San Martino Garbagnate Monastero,"Nights 5-8 Oct. 24h reception, free parking, no restaurant. ~500 m off the SS36 — ask for a room away from the road."
D1,Mon 5 Oct,4 · Food & drink,Birra & Brace — late option near the hotel,#food #latenight #d1 #hedge #d1,45.774,9.304,Birra e Brace Garbagnate Monastero,"D1 hedge. Roadside grill/pizzeria 2 min from the hotel, the kind of place that stays open late. Have reception (+39 031 851700) ring ahead — Monday is the standard closing day in Brianza. Better plan: eat at Malpensa."
D2,Tue 6 Oct,4 · Food & drink,"Dac a Tra' — Michelin star, 10 min from the hotel",#food #michelin #splurge #d2,45.75,9.32,Dac a Tra Castello di Brianza,"The closest starred restaurant to your base. Contemporary, produce-driven. +39 039 5312410."
D2,Tue 6 Oct,2 · Main plan — sights & hikes,Villa del Balbianello — Lenno,#sight #villa #booknow #closedWed #d2,45.9694,9.2103,Villa del Balbianello Lenno,"D2. Gardens ~EUR13-14, + 45-min interior tour ~EUR24-25. CLOSED Mon AND Wed — this is why the west shore goes on Tuesday. Book the interior tour ahead."
D2,Tue 6 Oct,2 · Main plan — sights & hikes,Villa Carlotta — Tremezzo,#sight #villa #rainproof #d2,45.9853,9.2231,Villa Carlotta Tremezzo,"D2. Open daily, 10:00-19:00 to 18 Oct. ~EUR15-17.50. Real art inside (Canova, Hayez) — the one villa that survives a wet day."
D2,Tue 6 Oct,2 · Main plan — sights & hikes,Bellagio — ferry pier & old town,#sight #town #ferry #d2,45.9857,9.2617,Bellagio imbarcadero,"D2 afternoon. Arrive as a foot passenger from Cadenabbia. Villa Melzi gardens EUR10, open to 19:00. Golden hour 17:45-18:55."
D2,Tue 6 Oct,2 · Main plan — sights & hikes,Sunset boat — Bellagio / Varenna,#boat #splurge #romantic #d2,45.986,9.26,Bellagio boat tour,"D2. Private hour ~EUR150-200, or shared from ~EUR40pp. October light on this lake is the best of the year. Book ahead — October fleets are reduced."
D2,Tue 6 Oct,3 · Parking,Lido di Lenno — car park for Balbianello,#parking #paid #EUR1.5-2h #d2,45.9744,9.2168,Lido di Lenno parcheggio,"D2. SET THE SATNAV HERE, not to the villa. The taxi-boat (~EUR6) and the 20-25 min woodland path both start here. Paid blue lines."
D2,Tue 6 Oct,3 · Parking,"Free parking — uphill streets, Lenno / Mezzegra",#parking #free #10-15minwalk #d2,45.972,9.223,Mezzegra Como,D2 free option. White-line residential streets uphill off the SS340. 10-15 min walk down. Read the signs — anything yellow is residents-only.
D2,Tue 6 Oct,3 · Parking,Cadenabbia ferry pier — park & walk on,#parking #ferry #d2,45.995,9.228,Cadenabbia imbarcadero,D2. Leave the car here and walk on as a foot passenger. DON'T put it on the car ferry — you don't need it in Bellagio and it costs several times a foot ticket.
D2,Tue 6 Oct,5 · Rain & cold fallbacks,Como Duomo + Museo della Seta — wet-day swap,#rain #indoor #d2 #d2,45.8103,9.0832,Duomo di Como,"D2 RAIN PLAN. The Duomo is free and one of the great Gothic/Renaissance hybrids in Italy. The silk museum is far better than it sounds — Como was the silk capital of Europe. Also Tempio Voltiano, Basilica di Sant'Abbondio. Skip the Brunate funicular: you'd pay to sit in a cloud."
D3,Wed 7 Oct,4 · Food & drink,Il Cavatappi / Vecchia Varenna,#food #dinner #romantic #booknow #d3,46.01,9.285,Il Cavatappi Varenna,"D3 dinner. Il Cavatappi is tiny, in a stone alley — the romantic one. Vecchia Varenna is on the water in a former black-marble works. Varenna after dark is the prettiest village on the lake."
D3,Wed 7 Oct,2 · Main plan — sights & hikes,Sentiero del Viandante — Varenna start (Olivedo),#hike #3h #530m #slipperywet #d3,46.0119,9.2847,Olivedo Varenna,"D3. ~3h, ~530 m ascent to Bellano. Up Via della Croce from Olivedo, via Vezio and Regolo. POLISHED LIMESTONE — genuinely slippery wet; don't do it in a downpour."
D3,Wed 7 Oct,2 · Main plan — sights & hikes,Orrido di Bellano — gorge walkway,#sight #gorge #EUR8 #betterinrain #d3,46.0424,9.301,Orrido di Bellano,"D3, end of the walk. EUR8 adult. Lit walkway bolted into a gorge. Better with more water in it, but CAN CLOSE on high water — check before driving over."
D3,Wed 7 Oct,2 · Main plan — sights & hikes,Villa Monastero — Varenna,#sight #villa #closedTue #rainproof #d3,46.0075,9.286,Villa Monastero Varenna,"D3. Garden + house museum EUR15, garden only EUR13. Last entry 17:30. CLOSED TUESDAYS — hence Varenna on Wednesday. Furnished period rooms = indoor option."
D3,Wed 7 Oct,6 · Optional & swaps,Lecco Wednesday market — Piazza Garibaldi,#optional #market #wedonly #d3,45.856,9.393,Piazza Garibaldi Lecco,"D3 alternative, 07:30-14:00, 50+ stalls. Runs 4 Mar - 25 Nov 2026. Wednesday 7 October falls perfectly in your stay."
D3,Wed 7 Oct,3 · Parking,Varenna-Esino-Perledo station — THE smart park,#parking #free #thetrick #d3,46.0142,9.2811,Stazione Varenna Esino Perledo,"D3. Free or near-free, 10 min walk down into Varenna — AND it's exactly where your train back from Bellano drops you. No backtracking, no second fee, no uphill walk after a 3-hour hike."
D3,Wed 7 Oct,3 · Parking,Perledo — free roadside parking above Varenna,#parking #free #10-15minwalk #d3,46.0139,9.2903,Perledo Lecco,"D3 free fallback. White lines on the road up to Perledo. 10-15 min down, 20-25 min back up."
D3,Wed 7 Oct,3 · Parking,Olivedo / Varenna pier lots — paid fallback,#parking #paid #EUR2h #d3,46.0125,9.284,Parcheggio Varenna imbarcadero,"D3 paid fallback. ~EUR2/h or EUR12-15/day in high season, usually cheaper and less strictly enforced in October. NEVER drive into Varenna's centre — the lanes are stairs."
D3,Wed 7 Oct,5 · Rain & cold fallbacks,"Accademia Carrara, Bergamo — best wet day on the Como leg",#rain #indoor #swapWedThu #d3,45.705,9.673,Accademia Carrara Bergamo,"D3 RAIN PLAN. Botticelli, Bellini, Raphael, Titian. SWAP WEDNESDAY AND THURSDAY and do Bergamo today — it costs nothing because Thursday's Bergamo stop was optional anyway. Plus arcaded Citta Alta, Santa Maria Maggiore, Cappella Colleoni."
